time,mv
0,27.5
0.2,27.7
0.4,28.2
0.6,27
0.8,27.5
1,27.3
1.2,27
1.4,27.3
1.6,27
1.8,27.5
2,26.5
2.2,27
2.4,27.5
2.6,27.3
2.8,27
3,26.5
3.2,27.3
3.4,27.7
3.6,26.8
3.8,27.5
4,26.8
4.2,27
4.4,26.8
4.6,27
4.8,27.5
5,27
5.2,26.8
5.4,27.3
5.6,27.5
5.8,27
6,27.5
6.2,27.3
6.4,27
6.6,28
6.8,27.7
7,27.3
7.2,27.5
7.4,27.7
7.6,27
7.8,27.3
8,27.5
8.2,28
8.4,27.3
8.6,27
8.8,27.3
9,27.5
9.2,27.7
9.4,27.3
9.6,27.5
9.8,27.7
10,27.3
10.2,27
10.4,27.3
10.6,27
10.8,27.3
11,27.5
11.2,27.3
11.4,27.7
11.6,27.5
11.8,27.7
12,28
12.2,27.7
12.4,27.3
12.6,27.5
12.8,27.3
13,28
13.2,27.5
13.4,27.7
13.6,26.8
13.8,27.5
14,28
14.2,27.5
14.4,27.7
14.6,27.5
14.8,26.8
15,27
15.2,27.3
15.4,27.5
15.6,27.7
15.8,27.3
16,28
16.2,27.5
16.4,27.3
16.6,27
16.8,27.3
17,27.7
17.2,28
17.4,27.3
17.6,27.5
17.8,27
18,27.5
18.2,27
18.4,27.3
18.6,27
18.8,27.7
19,27.3
19.2,27.5
19.4,27.7
19.6,28
19.8,27.3
20,26.8
20.2,27
20.4,26.8
20.6,27.3
20.8,27.5
21,27.7
21.2,28
21.4,27.3
21.6,27
21.8,27.3
22,26.8
22.2,27.5
22.4,27.7
22.6,28
22.8,27.7
23,27.5
23.2,27
23.4,27.7
23.6,27.5
23.8,28
24,27.7
24.2,27.5
24.4,27.7
24.6,27.5
24.8,27
25,27.5
25.2,26.8
25.4,27.7
25.6,28
25.8,27.5
26,28
26.2,27.7
26.4,27.5
26.6,27.3
26.8,27.5
27,27.7
27.2,27.3
27.4,27
27.6,27.5
27.8,27
28,27.7
28.2,27.5
28.4,27.3
28.6,27.5
28.8,27.7
29,27.3
29.2,28.2
29.4,27.7
29.6,27.5
29.8,27.3
30,27.5
30.2,27.7
30.4,27.5
30.6,27
30.8,27.5
31,27.3
31.2,27.5
31.4,27.3
31.6,27.7
31.8,27.5
32,27.7
32.2,28
32.4,27.3
32.6,27.5
32.8,27.7
33,27
33.2,27.7
33.4,27.5
33.6,27.7
33.8,27.3
34,27.5
34.2,27.3
34.4,27.7
34.6,27.5
34.8,27.3
35,27.7
35.2,27.7
35.4,28
35.6,27.5
35.8,28.2
36,27.7
36.2,27.5
36.4,27.3
36.6,27.5
36.8,27.3
37,27.7
37.2,27.3
37.4,27.7
37.6,27.5
37.8,27.7
38,27.3
38.2,27
38.4,27.3
38.6,27
38.8,26.8
39,27.5
39.2,28
39.4,28.2
39.6,27.5
39.8,28
40,27.3
40.2,28.5
40.4,27.7
40.6,27.5
40.8,27.3
41,27.7
41.2,27.3
41.4,28
41.6,27.5
41.8,27.7
42,28
42.2,27.5
42.4,28
42.6,27.7
42.8,26.8
43,27.7
43.2,27
43.4,27.7
43.6,28.5
43.8,28
44,27.5
44.2,28
44.4,27.5
44.6,28
44.8,27.7
45,28
45.2,27.7
45.4,27.3
45.6,27
45.8,27.5
46,27
46.2,27.7
46.4,27.5
46.6,27
46.8,27.5
47,27.3
47.2,27.5
47.4,27.7
47.6,27.5
47.8,28.2
48,28
48.2,27.5
48.4,27.3
48.6,27.5
48.8,27.3
49,26.8
49.2,27.3
49.4,27
49.6,27.3
49.8,27.7
50,27.3
50.2,27.5
50.4,27.3
50.6,28.2
50.8,27.5
51,27.3
51.2,27.5
51.4,27.3
51.6,27.5
51.8,27.3
52,27
52.2,27.3
52.4,27.5
52.6,27.3
52.8,27.5
53,28
53.2,27.3
53.4,26.8
53.6,27.3
53.8,27.7
54,27.5
54.2,27.3
54.4,27.5
54.6,27.3
54.8,27
55,27.5
55.2,27.3
55.4,26.8
55.6,27.3
55.8,27.5
56,27.3
56.2,27.7
56.4,27
56.6,27.5
56.8,27.3
57,27.7
57.2,27
57.4,27.3
57.6,27
57.8,27.3
58,27.5
58.2,27
58.4,27.5
58.6,27.3
58.8,28
59,27.3
59.2,27.5
59.4,27.3
59.6,27.5
59.8,26.8
60,27.3
60.2,27
60.4,27.5
60.6,27
60.8,27.3
61,27.5
61.2,27.3
61.4,27
61.6,27.3
61.8,27.5
62,27
62.2,27.3
62.4,26.5
62.6,27.5
62.8,26.8
63,27
63.2,27.3
63.4,27.5
63.6,27.7
63.8,26.8
64,26.5
64.2,27.5
64.4,27
64.6,27.5
64.8,27.3
65,27.5
65.2,27.3
65.4,27.5
65.6,27.7
65.8,26.5
66,27.5
66.2,27.7
66.4,27.3
66.6,27.5
66.8,27.3
67,26.5
67.2,27.3
67.4,27
67.6,27.3
67.8,27
68,27.7
68.2,27.3
68.4,27
68.6,26.8
68.8,27.3
69,26.8
69.2,27.3
69.4,26.3
69.6,27.3
69.8,27.5
70,27
70.2,26.8
70.4,27
70.6,26.8
70.8,26.5
71,27
71.2,26.8
71.4,27
71.6,26.8
71.8,27
72,26.5
72.2,26.8
72.4,27
72.6,26.8
72.8,27
73,27.7
73.2,27.5
73.4,27.3
73.6,26.8
73.8,27
74,26.8
74.2,26.5
74.4,27
74.6,26.8
74.8,26.3
75,26.5
75.2,27
75.4,26
75.6,26.8
75.8,27
76,27.3
76.2,27
76.4,27.3
76.6,26.5
76.8,27.3
77,27
77.2,26.5
77.4,26.8
77.6,27
77.8,27.5
78,26.8
78.2,27.3
78.4,27
78.6,26.8
78.8,27.3
79,27
79.2,27.5
79.4,26.8
79.6,27
79.8,27.3
80,27
80.2,26.5
80.4,26.8
80.6,27.3
80.8,26.5
81,27
81.2,26.8
81.4,26.5
81.6,26
81.8,26.8
82,26.3
82.2,26.5
82.4,26.3
82.6,27
82.8,26.5
83,26.8
83.2,27
83.4,26.8
83.6,27
83.8,26.8
84,26
84.2,26.5
84.4,26.3
84.6,26.8
84.8,27
85,26.3
85.2,26.8
85.4,26.5
85.6,26.3
85.8,26
86,26.3
86.2,26.5
86.4,26.8
86.6,27
86.8,26.3
87,26.8
87.2,26.5
87.4,26
87.6,27
87.8,26.5
88,26.3
88.2,26.5
88.4,26.3
88.6,26.8
88.8,27
89,26.5
89.2,26.3
89.4,26.8
89.6,26.5
89.8,26.8
90,26.3
90.2,26.8
90.4,27
90.6,26.3
90.8,26
91,26.3
91.2,27.5
91.4,26.5
91.6,26.3
91.8,26.5
92,27
92.2,26.8
92.4,26.5
92.6,26.8
92.8,26.5
93,26.8
93.2,26.3
93.4,27.3
93.6,27
93.8,26.5
94,26.8
94.2,27
94.4,26.5
94.6,26.8
94.8,26.3
95,27
95.2,27.5
95.4,27
95.6,26.8
95.8,26.3
96,27
96.2,27.3
96.4,26.8
96.6,27
96.8,27.3
97,27
97.2,26.5
97.4,26.8
97.6,27.3
97.8,27.5
98,26.5
98.2,27
98.4,26.8
98.6,26.5
98.8,26.3
99,26.8
99.2,26.3
99.4,26.8
99.6,27
99.8,26.3
100,26.8
100.2,26.3
100.4,26.5
100.6,27
100.8,26.5
101,26.8
101.2,26
101.4,26.8
101.6,26.5
101.8,26.8
102,26.3
102.2,27
102.4,26.8
102.6,26.5
102.8,26.8
103,26.5
103.2,26.3
103.4,27.3
103.6,26.8
103.8,26.3
104,25.8
104.2,26
104.4,26.3
104.6,26.8
104.8,26.5
105,26.3
105.2,27
105.4,26.5
105.6,27.3
105.8,27
106,26.8
106.2,26.5
106.4,26.8
106.6,26.5
106.8,27
107,26.8
107.2,26.5
107.4,26.8
107.6,26.3
107.8,26.8
108,26.3
108.2,26
108.4,26.3
108.6,25.8
108.8,26.5
109,26.3
109.2,26.5
109.4,26.3
109.6,26.5
109.8,26
110,26.3
110.2,26.5
110.4,26.8
110.6,26.5
110.8,26.3
111,26.5
111.2,26
111.4,26.3
111.6,26
111.8,27
112,26.5
112.2,26.8
112.4,26.3
112.6,26
112.8,26.5
113,26.8
113.2,26.3
113.4,26.5
113.6,25.8
113.8,26.5
114,26.8
114.2,26.3
114.4,26
114.6,26.3
114.8,26.5
115,25.8
115.2,26
115.4,26.5
115.6,25.8
115.8,26
116,26.5
116.2,26.3
116.4,26.5
116.6,26.3
116.8,27
117,26.5
117.2,25.5
117.4,25.8
117.6,26.3
117.8,25.8
118,25.5
118.2,25.8
118.4,26
118.6,25.8
118.8,26
119,26.3
119.2,26
119.4,26.5
119.6,26.3
119.8,26
120,26.3
120.2,26.5
120.4,26
120.6,25.8
120.8,26.3
121,25.8
121.2,26
121.4,26.3
121.6,26.5
121.8,25.8
122,26.3
122.2,26
122.4,25.8
122.6,26.5
122.8,26
