time,mv
18.18,27
18.20,26.3
18.22,26.8
18.24,26.5
18.26,26.3
18.30,26
18.32,26.3
18.36,26.5
18.40,26.8
18.42,27
18.44,26.3
18.46,26.8
18.48,26.5
18.50,26
18.54,27
18.56,26.5
18.58,26.3
19.02,26.5
19.04,26.3
19.06,26.8
19.08,27
19.10,26.5
19.14,26.3
19.18,26.8
19.22,26.5
19.24,26.8
19.26,26.3
19.30,26.8
19.32,27
19.34,26.3
19.38,26
19.40,26.3
19.42,27.5
19.44,26.5
19.48,26.3
19.50,26.5
19.52,27
19.54,26.8
19.56,26.5
20.02,26.8
20.08,26.5
20.12,26.8
20.14,26.3
20.16,27.3
20.18,27
20.20,26.5
20.22,26.8
20.24,27
20.26,26.5
20.32,26.8
20.36,26.3
20.38,27
20.40,27.5
20.44,27
20.46,26.8
20.48,26.3
20.50,27
20.52,27.3
20.56,26.8
20.58,27
21.00,27.3
21.02,27
21.04,26.5
21.06,26.8
21.08,27.3
21.10,27.5
21.12,26.5
21.14,27
21.18,26.8
21.20,26.5
21.22,26.3
21.24,26.8
21.26,26.3
21.30,26.8
21.34,27
21.36,26.3
21.40,26.8
21.46,26.3
21.50,26.5
21.52,27
21.56,26.5
22.02,26.8
22.04,26
22.06,26.8
22.08,26.5
22.10,26.8
22.12,26.3
22.14,27
22.18,26.8
22.22,26.5
22.24,26.8
22.26,26.5
22.28,26.3
22.30,27.3
22.32,26.8
22.34,26.3
22.36,25.8
22.38,26
22.40,26.3
22.42,26.8
22.44,26.5
22.46,26.3
22.48,27
22.50,26.5
22.52,27.3
22.54,27
23.00,26.8
23.02,26.5
23.04,26.8
23.08,26.5
23.10,27
23.12,26.8
23.14,26.5
23.20,26.8
23.22,26.3
23.24,26.8
23.28,26.3
23.30,26
23.32,26.3
23.34,25.8
23.36,26.5
23.38,26.3
23.42,26.5
23.44,26.3
23.46,26.5
23.48,26
23.52,26.3
23.54,26.5
23.56,26.8
23.58,26.5
24.02,26.3
24.04,26.5
24.06,26
24.08,26.3
24.10,26
24.12,27
24.14,26.5
24.18,26.8
24.22,26.3
24.24,26
24.26,26.5
24.28,26.8
24.32,26.3
24.34,26.5
24.40,25.8
24.42,26.5
24.44,26.8
24.46,26.3
24.48,26
24.50,26.3
24.52,26.5
24.54,25.8
24.56,26
24.58,26.5
25.00,25.8
25.02,26
25.04,26.5
25.06,26.3
25.08,26.5
25.10,26.3
25.12,27
25.14,26.5
25.16,25.5
25.18,25.8
25.20,26.3
25.22,25.8
25.24,25.5
25.26,25.8
25.28,26
25.32,25.8
25.36,26
25.38,26.3
25.48,26
25.50,26.5
25.52,26.3
25.54,26
25.58,26.3
26.00,26.5
26.04,26
26.06,25.8
26.10,26.3
26.12,25.8
26.20,26
26.22,26.3
26.24,26.5
26.26,25.8
26.28,26.3
26.30,26
26.32,25.8
26.36,26.5
26.38,26
26.40,26.3
26.42,25.3
26.44,26.3
26.46,25.8
26.52,26
26.54,25.8
26.56,26.3
26.58,26
27.02,26.3
27.06,25.8
27.08,26
27.10,25.8
27.12,26
27.14,25.8
27.16,26.5
27.18,26.3
27.26,26
27.28,26.3
27.30,26
27.36,26.3
27.42,26.5
27.44,26.3
27.46,27
27.48,26.3
27.50,26.5
27.52,26
27.54,26.5
27.56,25.8
28.00,26
28.06,26.5
28.08,26
28.12,26.3
28.20,26
28.22,27.3
28.24,26.5
28.28,26.3
28.32,26
28.34,26.3
28.36,27
28.38,26.3
28.40,27
28.44,26.5
28.46,26.3
28.48,26
28.52,26.8
28.56,26.3
29.00,26
29.02,26.3
29.06,27
29.08,26.3
29.10,26.8
29.12,26.5
29.14,26.8
29.16,27
29.18,26.5
29.20,26.8
29.22,26
29.24,26.5
29.26,26.3
29.28,26.5
29.30,26.8
29.32,27.3
29.34,27
29.36,26.3
29.40,26.5
29.42,26.8
29.46,26.5
