time.mv
00.0002,27.5
00.0004,27.7
00.0006,28.2
00.0008,27
00.0010,27.5
00.0012,27.3
00.0014,27
00.0016,27.3
00.0018,27
00.0020,27.5
00.0022,26.5
00.0024,27
00.0026,27.5
00.0028,27.3
00.0030,27
00.0032,26.5
00.0034,27.3
00.0036,27.7
00.0038,26.8
00.0040,27.5
00.0042,26.8
00.0044,27
00.0046,26.8
00.0048,27
00.0050,27.5
00.0052,27
00.0054,26.8
00.0056,27.3
00.0058,27.5
00.0060,27
00.0062,27.5
00.0064,27.3
00.0066,27
00.0068,28
00.0070,27.7
00.0072,27.3
00.0074,27.5
00.0076,27.7
00.0078,27
00.0080,27.3
00.0082,27.5
00.0084,28
00.0086,27.3
00.0088,27
00.0090,27.3
00.0092,27.5
00.0094,27.7
00.0096,27.3
00.0098,27.5
00.0100,27.7
00.0102,27.3
00.0104,27
00.0106,27.3
00.0108,27
00.0110,27.3
00.0112,27.5
00.0114,27.3
00.0116,27.7
00.0118,27.5
00.0120,27.7
00.0122,28
00.0124,27.7
00.0126,27.3
00.0128,27.5
00.0130,27.3
00.0132,28
00.0134,27.5
00.0136,27.7
00.0138,26.8
00.0140,27.5
00.0142,28
00.0144,27.5
00.0146,27.7
00.0148,27.5
00.0150,26.8
00.0152,27
00.0154,27.3
00.0156,27.5
00.0158,27.7
00.0160,27.3
00.0162,28
00.0164,27.5
00.0166,27.3
00.0168,27
00.0170,27.3
00.0172,27.7
00.0174,28
00.0176,27.3
00.0178,27.5
00.0180,27
00.0182,27.5
00.0184,27
00.0186,27.3
00.0188,27
00.0190,27.7
00.0192,27.3
00.0194,27.5
00.0196,27.7
00.0198,28
00.0200,27.3
00.0202,26.8
00.0204,27
00.0206,26.8
00.0208,27.3
00.0210,27.5
00.0212,27.7
00.0214,28
00.0216,27.3
00.0218,27
00.0220,27.3
00.0222,26.8
00.0224,27.5
00.0226,27.7
00.0228,28
00.0230,27.7
00.0232,27.5
00.0234,27
00.0236,27.7
00.0238,27.5
00.0240,28
00.0242,27.7
00.0244,27.5
00.0246,27.7
00.0248,27.5
00.0250,27
00.0252,27.5
00.0254,26.8
00.0256,27.7
00.0258,28
00.0260,27.5
00.0262,28
00.0264,27.7
00.0266,27.5
00.0268,27.3
00.0270,27.5
00.0272,27.7
00.0274,27.3
00.0276,27
00.0278,27.5
00.0280,27
00.0282,27.7
